K 4th I-TDS	Des D 50eV	err final
T sample	D m-2 s-1	D m-2 s-1
4th I-TDS	4th I-TDS	4th I-TDS
800.777507095183	-412515226890220	425830964475305
802.462774776741	852177998276238	426313845081916
804.103261538355	-113418286877681	363412667210015
805.611439911733	-235572959946387	420184979339733
807.296999267048	868106822479546	399963942471328
808.850192360205	503083969601980	338446962051443
810.936105440522	867758712104406	355177803065241
812.357266682977	442426879141440	365295583409424
814.177418295019	682727999426372	408875178280519
815.910412446859	421137770146227	425064160603259
817.731447339595	588810413989526	349884849686147
819.419914465249	283436785061383	343151743782343
821.109744958862	180358226680798	401931716144061
823.110372697422	126380725234720	347714288129392
824.755562919268	-404468809334080	327352038823178
826.267945077619	-447874342895477	395870061458630
827.780563317114	-407782938352571	374800958567986
829.737213658642	1.2125351806441E15	385916989968295
831.473276890369	613533177612816	372596916874218
832.986614417443	-81630255648839	390780894275803
834.722129499178	-149465136765575	375081914664492
836.191433602834	42636854633063.8	376992492826791
838.194798909064	354254603159167	360260528758319
839.84207372961	901139406978934	347330976363046
841.533903957654	-373028555409902	356788218478709
842.825069462299	164061314441951	314044080464802
844.60695935701	-413554390996144	327395528910340
846.477792857261	98330989541054.3	318159512438042
848.347690991873	55162141331122.1	400133877012434
850.085362767165	-356410213619132	383180696911423
851.554468445926	0	336688026233558
853.069003345182	0	333909020277247
855.207481435176	0	349650310365525
856.81077403471	0	366691480212324
858.279719837144	0	393481709525890
860.017110593699	0	299859774443524
861.97642790576	0	349057180444236
863.400609479501	0	327395528910340
865.047692044948	0	339494211282484
866.516981138949	0	344534852935753
868.386637623002	0	310310194663778
870.255973713855	0	338512874177329
871.902067091341	0	370371694788605
873.769693162052	0	288864255762677
875.060246385464	0	371794012824076
877.105527964962	0	339874132248712
878.883204324728	0	352146765060969
880.394457972284	0	348209078359352
881.993971726778	0	390518610824143
883.948451709424	0	322234157244450
885.414110483937	0	339659999581935
887.323078543078	0	342983197579120
889.009041976867	0	392466323503108
890.427964296347	0	307515284825510
892.113801603724	0	371254024559374
894.06421012522	0	341615313401579
895.614033881487	0	301584821111956
897.696249348626	0	311690261229889
899.023894688899	0	367575733541028
901.059081291669	0	381567483295305
902.784406497939	0	330542574667915
904.596003478064	0	363412667210015
905.96605937377	0	320704547988952
907.775868686029	0	328769730830835
909.982630023837	0	374975548688686
910.997430475485	0	363412667210015
913.112865258607	0	353395278951065
914.698645231009	0	363677325265872
916.195702110558	0	363413868678693
917.867417724633	0	327797301865117
919.581901638708	0	354355092096425
921.515280706112	0	310310194663778
922.833213635424	0	386347524197505
924.588011441708	0	337775446280698
926.561094855969	0	323039101743428
927.963590421353	0	370488021488235
929.758147411485	0	346264825770792
931.46499831665	0	298441107523637
933.03875019228	0	309339298733902
935.047848543185	0	314044080464802
936.488374010498	0	329193198668017
938.407167056728	0	344534852935753
940.279705516492	0	374369760711297
941.629674717492	0	358696831755807
943.152198432848	0	297896751387982
944.846850614145	0	292501868475401
946.540966885872	0	335304917080148
947.928776654793	0	288162865026158
950.096419260234	0	322864294168942
951.351993499124	0	293345292442316
953.298891295287	0	354738171265909
954.811771654973	0	290954908489777
956.323342011358	0	296044949243279
958.048674008175	0	341755846979443
959.600376004496	0	310766468931171
961.667749736768	0	299443711373606
962.957832606281	0	335727600539030
964.591667826601	0	324247628756830
966.265713800278	0	379999438570701
967.852526222634	0	332027305546516
969.523222715138	0	325738921049972
971.321168489485	0	302397455835696
973.202333503344	0	394620376979972
974.996134563542	0	381271412818324
976.403224264243	0	377753850991458
978.364277812814	0	359412594564192
979.85322989463	0	336688026233558
981.46987763937	0	374975548688686
983.210929899579	0	352146765060969
984.611596980514	0	357731676388342
986.392345982241	0	340742468278382
987.874578481341	0	341210353742041
989.862414743955	0	307898066727729
991.551933496521	0	271753237129242
992.987147823583	0	330542574667915
994.758280408591	0	307069297089564
996.316503302224	0	302397455835696
998.083844447164	0	424190084783186
999.42827616763	0	374746123160211
1000.9827944067	0	409514592829739
1003.03757826664	0	333909020277247
1004.83914183985	0	366691480212324
1006.13610743199	0	359412594564192
1007.80913325684	0	316097855108386
1009.27125634295	0	359133747218482
1011.10746861054	0	384626167622428
1012.56665203602	0	273228966833785
1014.31522995109	0	358215388675978
1016.062936715	0	338446962051443
1017.47639154959	0	332401155765199
1019.09573196775	0	290271008296362
1020.7558857486	0	330360533224422
1022.41355530787	0	311664781913646
1023.94583313537	0	279923336356518
1025.41494885722	0	346703733928523
1027.17244033093	0	395057765633254
1028.65966212445	0	337792843034764
1030.35248942722	0	344475107842622
1032.0840839995	0	323363088348445
1033.93842858421	-379002251696123	316097258845223
1035.17438596109	46473782490333.4	349584229731804
1036.90300100009	-105561817642966	356459702140719
1038.46536344253	-341873153590889	369804676164237
1040.02668735535	-1.20425506843422E15	392307399329458
1041.75173794631	-413422361784499	334435111528588
1043.22915447298	-341238009005298	346359700879524
1045.11566692199	-966081304401122	400133877012434
1046.87829829962	-649310481948530	339494211282484
1047.94354130422	-658416460460809	324488416937117
1049.62192525496	96160998542088.2	385442499444962
1051.3411912217	204839433204833	356915730753828
1052.89550574492	133078552937327	389278126852011
1054.40932605046	-255241606072776	373256724362701
1055.9624232266	-800048759111724	365093585385864
1057.26952983756	3387138274050.46	295899165765418
1059.15314769971	-148648333495348	355695948143934
1060.94911298691	487428723077968	365093585385864
1062.17081630519	-172654336902894	316097855108386
1064.04925240671	-574531996684724	347330976363046
1065.72377964269	406773408008178	340374829429448
1067.31481771023	-102555146209010	372425193799246
1068.82245789908	-466684406808790	389859285630538
1070.33001037466	170885416208048	381056505382939
1072.12423602113	903603206914828	339541790360298
1073.64103556527	643100972556581	309685518580347
1075.18567344818	135026607273997	385442499444962
1076.89698095311	1.07004312447934E15	368767662899476
1078.85838681562	834985849102122	403991362370428
1080.29273385066	209126942280611	346807023600357
1081.71813465894	681907732108114	333902095184035
1083.47724374209	-1.04503820456941E15	389634505999379
1084.90351282923	363263291280200	365995522548315
1086.33025379145	446496510234116	357731676388342
1088.25812215978	871972801148376	382198011963535
1089.80675770137	326927327328313	429264771134220
1091.60674022313	849221243403236	399839702115805
1093.28713456897	1.53439544423225E15	373537163324719
1094.96861266306	-215725265974303	427594613003878
1096.44667669618	1.46284636440254E15	418064312231884
1097.46979811331	1.23859963441892E15	368348904188322
1099.52682062076	1.08405565641641E15	404830323101100
1101.37155251406	1.01504160316313E15	317403250181063
1102.97551531398	175119114413783	385044261608221
1104.42218496812	1.39467925617265E15	375342926542043
1105.98223712561	1.23989657229732E15	410505196696428
1107.63734966849	849845069334779	396223666631606
1109.24740924314	1.34753223337156E15	386710838594080
1111.06552024759	1.46475141306761E15	446537138182535
1112.47288193493	886197261887146	345334483811168
1113.91929134552	968953325823225	439067688589880
1115.49901374981	933925233312084	423926194642749
1117.240874637	1.71591757275737E15	412594901558003
1119.27777589676	1.20635018430346E15	380501523794249
1120.74162366878	2.05834502626488E15	382198011963535
1122.49127570972	2.48131268258213E15	414358794826214
1123.87404808845	2.34158039428595E15	413653582473362
1125.37248812367	1.47872106769698E15	402681516432816
1127.13924023491	1.43312100730116E15	433229935535062
1128.64244954266	3.3587876135845E15	439067688589880
1130.32914385273	2.19041825951936E15	391733756478317
1132.00923910694	2.21380521857789E15	406067449034439
1133.95081337632	2.38961659759863E15	393039743093156
1135.68544453668	2.56877468979535E15	409286472606171
1136.70286346315	3.41975392033109E15	400400249711889
1138.99155447992	2.34372414882384E15	461135800054079
1140.56253096643	2.27172456268352E15	490023525641341
1142.18476050032	2.45112123238916E15	462728670861501
1144.02325612582	3.67898341330851E15	430538024637463
1145.81736566118	3.24162741143273E15	415300961514112
1147.40145833137	2.66408887167795E15	504442867820779
1149.0764730179	3.00851340880965E15	434529574273821
1150.62810244555	3.71530882878976E15	456690952148118
1152.27097478647	2.51122255512174E15	434071855118550
1154.12347381293	4.09620054236998E15	474514694321132
1155.59698051337	3.29020232788105E15	517374585643934
1157.07342466871	4.5082695748325E15	453113658649554
1158.98737975168	4.46117661962925E15	454329212885321
1160.43111322063	3.5998101878477E15	479064182057549
1162.13567515566	3.64756506470766E15	506491223714253
1163.4465923755	4.16836621433906E15	496111791988528
1165.37765504644	4.85354067189588E15	460937624666702
1166.79447805729	5.4788071830756E15	465798376580588
1168.95516556671	4.15819068516715E15	507314304757970
1170.49976654988	5.32525203942765E15	445914029978310
1172.41020966284	5.09091049657719E15	527054668569645
1174.40674938329	5.36288519798575E15	497255072841368
1175.88267610466	4.22951728772452E15	533344524335401
1178.07209588786	5.56584623123273E15	532295120578671
1179.46440256704	6.38134711967451E15	492906882475897
1180.94111403551	6.29728292756988E15	483561795321793
1183.01389743526	6.15480368389558E15	482658043426135
1184.69307315272	5.33948769045657E15	538416357635651
1186.54083554174	5.05885726011855E15	569035323461011
1188.1771861386	7.00919204819396E15	491113304658946
1190.00338539491	7.3637111414647E15	572125467054856
1191.68943386404	6.86567028765894E15	543431968111147
1193.56649982612	7.42296551917389E15	557162545257697
1195.44864545773	7.82532782449353E15	513526908674832
1197.09577121069	6.67857956121558E15	550618933691583
1198.85137803329	7.4465371165074E15	590503369659242
1200.74770264461	8.74888022763737E15	597240178334799
1202.55439399716	7.06774653688517E15	583101536794680
1204.22855121971	7.88474006340657E15	551083872815300
