"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.6553e+06,1,1.39e-07,1.39e-07,0,0
5.6379e+06,1,1.395e-07,1.395e-07,0,0
5.6206e+06,1,1.4e-07,1.4e-07,0,0
5.6033e+06,1,1.405e-07,1.405e-07,0,0
5.5862e+06,1,1.41e-07,1.41e-07,0,0
5.569e+06,1,1.415e-07,1.415e-07,0,0
5.552e+06,1,1.42e-07,1.42e-07,0,0
5.5351e+06,1,1.425e-07,1.425e-07,0,0
5.5182e+06,1,1.43e-07,1.43e-07,0,0
5.5014e+06,1,1.435e-07,1.435e-07,0,0
5.4847e+06,1,1.44e-07,1.44e-07,0,0
5.468e+06,1,1.445e-07,1.445e-07,0,0
5.4515e+06,1,1.45e-07,1.45e-07,0,0
5.435e+06,1,1.455e-07,1.455e-07,0,0
5.4186e+06,1,1.46e-07,1.46e-07,0,0
5.4022e+06,1,1.465e-07,1.465e-07,0,0
5.3859e+06,1,1.47e-07,1.47e-07,0,0
5.3697e+06,1,1.475e-07,1.475e-07,0,0
5.3536e+06,1,1.48e-07,1.48e-07,0,0
5.3375e+06,1,1.485e-07,1.485e-07,0,0
5.3215e+06,1,1.49e-07,1.49e-07,0,0
5.3055e+06,1,1.495e-07,1.495e-07,0,0
5.2897e+06,1,1.5e-07,1.5e-07,0,0
5.2739e+06,1,1.505e-07,1.505e-07,0,0
5.2582e+06,1,1.51e-07,1.51e-07,0,0
5.2425e+06,1,1.515e-07,1.515e-07,0,0
5.227e+06,1,1.52e-07,1.52e-07,0,0
5.2114e+06,1,1.525e-07,1.525e-07,0,0
5.196e+06,1,1.53e-07,1.53e-07,0,0
5.1806e+06,1,1.535e-07,1.535e-07,0,0
5.1653e+06,1,1.54e-07,1.54e-07,0,0
5.15e+06,1,1.545e-07,1.545e-07,0,0
5.1349e+06,1,1.55e-07,1.55e-07,0,0
5.1198e+06,1,1.555e-07,1.555e-07,0,0
5.1047e+06,1,1.56e-07,1.56e-07,0,0
5.0897e+06,1,1.565e-07,1.565e-07,0,0
5.0748e+06,1,1.57e-07,1.57e-07,0,0
5.06e+06,1,1.575e-07,1.575e-07,0,0
5.0452e+06,1,1.58e-07,1.58e-07,0,0
5.0304e+06,1,1.585e-07,1.585e-07,0,0
5.0158e+06,1,1.59e-07,1.59e-07,0,0
5.0012e+06,1,1.595e-07,1.595e-07,0,0
4.9866e+06,1,1.6e-07,1.6e-07,0,0
4.9722e+06,1,1.605e-07,1.605e-07,0,0
4.9578e+06,1,1.61e-07,1.61e-07,0,0
4.9434e+06,1,1.615e-07,1.615e-07,0,0
4.9291e+06,1,1.62e-07,1.62e-07,0,0
4.9149e+06,1,1.625e-07,1.625e-07,0,0
4.9008e+06,1,1.63e-07,1.63e-07,0,0
4.8867e+06,1,1.635e-07,1.635e-07,0,0
4.8726e+06,1,1.64e-07,1.64e-07,0,0
4.8587e+06,1,1.645e-07,1.645e-07,0,0
4.8447e+06,1,1.65e-07,1.65e-07,0,0
4.8309e+06,1,1.655e-07,1.655e-07,0,0
4.8171e+06,1,1.66e-07,1.66e-07,0,0
4.8034e+06,1,1.665e-07,1.665e-07,0,0
4.7897e+06,1,1.67e-07,1.67e-07,0,0
4.7761e+06,1,1.675e-07,1.675e-07,0,0
4.7625e+06,1,1.68e-07,1.68e-07,0,0
4.749e+06,1,1.685e-07,1.685e-07,0,0
4.7355e+06,1,1.69e-07,1.69e-07,0,0
4.7222e+06,1,1.695e-07,1.695e-07,0,0
4.7088e+06,1,1.7e-07,1.7e-07,0,0
4.6956e+06,1,1.705e-07,1.705e-07,0,0
4.6823e+06,1,1.71e-07,1.71e-07,0,0
4.6692e+06,1,1.715e-07,1.715e-07,0,0
